
-,-,-
124.0,-54.0,870.0
75.0,119.0,863.0
64.0,117.0,922.0
135.0,166.0,1042.0
74.0,116.0,974.0
74.0,47.0,1013.0
80.0,106.0,920.0
53.0,59.0,982.0
74.0,68.0,881.0
137.0,1.0,947.0
104.0,51.0,726.0
185.0,31.0,797.0
176.0,78.0,703.0
143.0,15.0,753.0
135.0,27.0,801.0
58.0,-25.0,878.0
22.0,-86.0,922.0
-75.0,-89.0,1025.0
-96.0,-246.0,1146.0
-48.0,-295.0,1247.0
-27.0,-218.0,1164.0
-33.0,-237.0,1177.0
-167.0,-261.0,1155.0
-80.0,-274.0,1220.0
-134.0,-316.0,1273.0
-75.0,-333.0,1344.0
-99.0,-306.0,1351.0
-73.0,-279.0,1278.0
-13.0,-215.0,1198.0
22.0,-122.0,1027.0
3.0,-61.0,946.0
-80.0,-34.0,810.0
-140.0,1.0,695.0
-212.0,-13.0,643.0
-102.0,34.0,589.0
-58.0,-34.0,757.0
-86.0,14.0,663.0
-71.0,-20.0,829.0
-66.0,15.0,864.0
-20.0,-37.0,1014.0

-,-,-
46.0,41.0,841.0
-43.0,83.0,717.0
-21.0,59.0,741.0
-101.0,105.0,695.0
-11.0,22.0,816.0
-68.0,0.0,780.0
-21.0,-61.0,910.0
-181.0,-85.0,854.0
-55.0,-124.0,1048.0
-101.0,-168.0,1091.0
-58.0,-247.0,1177.0
-4.0,-285.0,1228.0
-89.0,-324.0,1301.0
-197.0,-396.0,1339.0
-180.0,-395.0,1364.0
-203.0,-364.0,1322.0
-175.0,-309.0,1293.0
-176.0,-321.0,1249.0
-54.0,-272.0,1152.0
109.0,-287.0,1118.0
64.0,-270.0,992.0
138.0,-214.0,902.0
127.0,-117.0,817.0
159.0,-127.0,760.0
225.0,-104.0,702.0
154.0,-19.0,644.0
260.0,20.0,579.0
78.0,-122.0,801.0

-,-,-
159.0,-31.0,895.0
124.0,-40.0,857.0
83.0,69.0,699.0
107.0,-49.0,798.0
124.0,41.0,729.0
138.0,41.0,747.0
85.0,-221.0,740.0
18.0,-135.0,843.0
-72.0,-146.0,814.0
-123.0,-168.0,947.0
-146.0,-218.0,1101.0
-281.0,-339.0,1208.0
-361.0,-409.0,1385.0
-386.0,-394.0,1350.0
-273.0,-380.0,1362.0
-106.0,-391.0,1376.0
-102.0,-390.0,1315.0
-85.0,-337.0,1301.0
-135.0,-342.0,1248.0
-97.0,-333.0,1216.0
-90.0,-218.0,1060.0
-122.0,-192.0,963.0
-97.0,-83.0,800.0
-114.0,-8.0,644.0
-198.0,-25.0,645.0
-208.0,-41.0,639.0
-257.0,-66.0,665.0
-179.0,-18.0,748.0
-125.0,-64.0,870.0

-,-,-
-116.0,41.0,656.0
-20.0,50.0,766.0
-191.0,-38.0,700.0
-104.0,-8.0,738.0
-132.0,-44.0,761.0
-116.0,-129.0,851.0
-90.0,-147.0,907.0
-22.0,-265.0,1096.0
-160.0,-263.0,1059.0
-288.0,-250.0,1083.0
-295.0,-358.0,1125.0
-186.0,-337.0,1121.0
-208.0,-384.0,1126.0
-273.0,-351.0,1033.0
-166.0,-349.0,1077.0
-210.0,-388.0,1083.0
-178.0,-431.0,1108.0
-211.0,-432.0,1110.0
-262.0,-403.0,1068.0
-230.0,-370.0,1081.0
